type,date,contractSymbol,strike,bid,ask,bid/strike,vol,interval / topk% / 1-(point/close),change,MA5,MA20,MA40,MA80,MA40_state(keep),MA80_state(keep),situation_type,k,d
call,2019-11-15,ZION191115C00041000,41.0,6.5,7.85,0.159,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00042000,42.0,5.6,6.65,0.133,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00043000,43.0,4.55,5.8,0.106,300.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00044000,44.0,2.55,4.7,0.058,12.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00045000,45.0,2.92,3.7,0.065,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,-0.45000005,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00046000,46.0,2.25,2.72,0.049,5.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.3000002,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00047000,47.0,1.52,1.71,0.032,34.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00048000,48.0,0.91,1.03,0.019,13.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.030000031,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2019-11-15,ZION191115C00049000,49.0,0.45,0.55,0.009,32.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.110000014,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00038000,38.0,0.02,0.1,0.001,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00039000,39.0,0.0,0.07,0.0,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00040000,40.0,0.0,0.12,0.0,8.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00041000,41.0,0.0,0.13,0.0,6.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00042000,42.0,0.0,0.15,0.0,4.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00043000,43.0,0.07,0.1,0.002,5.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,-0.10000001,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00044000,44.0,0.14,0.16,0.003,14.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00045000,45.0,0.22,0.3,0.005,3.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00046000,46.0,0.44,0.46,0.01,3.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00047000,47.0,0.69,0.77,0.015,36.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,-0.28999996,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00048000,48.0,1.14,1.57,0.024,40.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,-0.25,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2019-11-15,ZION191115P00052500,52.5,4.5,5.4,0.086,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00025000,25.0,19.45,20.5,0.778,nan,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00030000,30.0,13.1,17.35,0.437,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00033000,33.0,11.5,12.35,0.348,10.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00034000,34.0,8.4,9.9,0.247,300.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00035000,35.0,12.8,13.1,0.366,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.29999924,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00036000,36.0,11.65,12.3,0.324,23.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00038000,38.0,6.8,7.2,0.179,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00039000,39.0,4.25,5.2,0.109,50.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00040000,40.0,7.5,8.7,0.188,20.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00041000,41.0,6.55,7.9,0.16,26.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00042000,42.0,5.95,6.6,0.142,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00043000,43.0,5.2,5.5,0.121,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00044000,44.0,4.45,4.7,0.101,2.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00045000,45.0,3.7,3.9,0.082,68.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00046000,46.0,3.0,3.2,0.065,28.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.099999905,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00047000,47.0,2.45,2.54,0.052,12.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00048000,48.0,1.87,1.99,0.039,28.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00049000,49.0,1.44,1.51,0.029,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,-0.049999952,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00050000,50.0,1.06,1.11,0.021,16.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00052500,52.5,0.42,0.48,0.008,11.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00055000,55.0,0.14,0.22,0.003,7.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00057500,57.5,0.02,0.15,0.0,1.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00060000,60.0,0.0,0.2,0.0,3.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00062500,62.5,0.0,0.0,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00065000,65.0,0.0,0.27,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00070000,70.0,0.0,0.0,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00075000,75.0,0.0,0.13,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
call,2020-01-17,ZION200117C00080000,80.0,0.0,0.09,0.0,0.0,15.84_16.72/1.0/0.67  18.48_19.36/0.65/0.61  57.2_58.08/0.54/-0.19  10.56_11.44/0.51/0.78  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00023000,23.0,0.01,0.03,0.0,49.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00025000,25.0,0.01,0.04,0.0,22.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00030000,30.0,0.01,0.18,0.0,44.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00032000,32.0,0.05,0.18,0.002,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00033000,33.0,0.05,0.53,0.002,8.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00034000,34.0,0.18,0.54,0.005,nan,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00035000,35.0,0.11,0.14,0.003,11.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00036000,36.0,0.09,0.25,0.003,30.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00037000,37.0,0.0,0.2,0.0,8.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00038000,38.0,0.15,0.24,0.004,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00039000,39.0,0.2,0.26,0.005,24.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00040000,40.0,0.27,0.33,0.007,2.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00041000,41.0,0.35,0.45,0.009,4.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00042000,42.0,0.48,0.52,0.011,1.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00043000,43.0,0.59,0.73,0.014,65.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
put,2020-01-17,ZION200117P00044000,44.0,0.8,0.86,0.018,160.0,15.84_16.72/1.0/0.65  18.48_19.36/0.65/0.6  57.2_58.08/0.54/-0.21  10.56_11.44/0.51/0.76  ,0.0,47.43,44.52,43.94,43.44,1_20,1_10,big_cow,80.662,79.655
